Year,Bronze,Gold,Silver
1896,38,62,43
1900,175,201,228
1904,150,173,163
1906,145,157,156
1908,256,294,281
1912,300,326,315
1920,367,493,448
1924,274,277,281
1928,250,245,239
1932,204,229,214
1936,295,312,310
1948,279,289,284
1952,300,306,291
1956,298,302,293
1960,308,309,294
1964,343,347,339
1968,358,359,340
1972,419,404,392
1976,448,438,434
1980,469,457,458
1984,502,497,477
1988,549,520,513
1992,604,559,549
1996,629,608,605
2000,680,663,661
2004,677,664,660
2008,710,671,667
2012,679,632,630
2016,703,665,655
2020,867,800,782
2024,794,743,744
