NOC,Sport,size,rank
AFG,Taekwondo,2,1.0
AHO,Sailing,1,1.0
AIN,Tennis,2,1.0
AIN,Trampoline Gymnastics,2,2.0
AIN,Rowing,1,3.0
AIN,Weightlifting,1,4.0
ALB,Wrestling,2,1.0
ALG,Athletics,10,1.0
ALG,Boxing,7,2.0
ALG,Judo,2,3.0
ALG,Artistic Gymnastics,1,4.0
ANZ,Rugby,15,1.0
ANZ,Swimming,11,2.0
ANZ,Athletics,1,3.0
ANZ,Boxing,1,4.0
ANZ,Tennis,1,5.0
ARG,Hockey,115,1.0
ARG,Football,68,2.0
ARG,Basketball,24,3.0
ARG,Boxing,24,4.0
ARG,Volleyball,24,5.0
ARG,Sailing,23,6.0
ARG,Rugby Sevens,13,7.0
ARG,Polo,9,8.0
ARG,Tennis,7,9.0
ARG,Rowing,6,10.0
ARG,Athletics,5,11.0
ARG,Fencing,5,12.0
ARG,Swimming,3,13.0
ARG,Cycling,2,14.0
ARG,Judo,2,15.0
ARM,Wrestling,11,1.0
ARM,Weightlifting,9,2.0
ARM,Artistic Gymnastics,2,3.0
ARM,Boxing,2,4.0
AUS,Swimming,505,1.0
AUS,Hockey,206,2.0
AUS,Rowing,162,3.0
AUS,Athletics,100,4.0
AUS,Cycling,84,5.0
AUS,Basketball,83,6.0
AUS,Softball,60,7.0
AUS,Sailing,58,8.0
AUS,Water Polo,52,9.0
AUS,Canoeing,41,10.0
AUS,Equestrianism,37,11.0
AUS,Baseball,24,12.0
AUS,Diving,22,13.0
AUS,Cycling Track,18,14.0
AUS,Tennis,14,15.0
AUT,Handball,22,1.0
AUT,Canoeing,21,2.0
AUT,Swimming,17,3.0
AUT,Sailing,15,4.0
AUT,Fencing,13,5.0
AUT,Football,13,6.0
AUT,Weightlifting,11,7.0
AUT,Art Competitions,10,8.0
AUT,Rowing,10,9.0
AUT,Athletics,8,10.0
AUT,Judo,8,11.0
AUT,Shooting,8,12.0
AUT,Equestrianism,6,13.0
AUT,Wrestling,6,14.0
AUT,Cycling,3,15.0
AZE,Wrestling,29,1.0
AZE,Boxing,10,2.0
AZE,Judo,7,3.0
AZE,Taekwondo,4,4.0
