Sport,NOC,size,rank
3x3 Basketball,ROC,8,1.0
3x3 Basketball,USA,8,2.0
3x3 Basketball,CHN,4,3.0
3x3 Basketball,ESP,4,4.0
3x3 Basketball,FRA,4,5.0
3x3 Basketball,GER,4,6.0
3x3 Basketball,LAT,4,7.0
3x3 Basketball,LTU,4,8.0
3x3 Basketball,NED,4,9.0
3x3 Basketball,SRB,4,10.0
Aeronautics,SUI,1,1.0
Alpinism,GER,2,1.0
Alpinism,SUI,2,2.0
Archery,KOR,90,1.0
Archery,USA,60,2.0
Archery,BEL,52,3.0
Archery,FRA,52,4.0
Archery,CHN,22,5.0
Archery,ITA,17,6.0
Archery,GBR,13,7.0
Archery,GER,12,8.0
Archery,TPE,12,9.0
Archery,JPN,11,10.0
Archery,NED,11,11.0
Archery,UKR,8,12.0
Archery,MEX,7,13.0
Archery,URS,7,14.0
Archery,FIN,6,15.0
Art Competitions,GER,26,1.0
Art Competitions,FRA,15,2.0
Art Competitions,ITA,14,3.0
Art Competitions,AUT,10,4.0
Art Competitions,DEN,9,5.0
Art Competitions,GBR,9,6.0
Art Competitions,SUI,9,7.0
Art Competitions,USA,9,8.0
Art Competitions,BEL,8,9.0
Art Competitions,POL,8,10.0
Art Competitions,NED,7,11.0
Art Competitions,FIN,5,12.0
Art Competitions,HUN,5,13.0
Art Competitions,SWE,4,14.0
Art Competitions,IRL,3,15.0
Artistic Gymnastics,USA,26,1.0
Artistic Gymnastics,CHN,24,2.0
Artistic Gymnastics,JPN,16,3.0
Artistic Gymnastics,ROC,14,4.0
Artistic Gymnastics,BRA,10,5.0
Artistic Gymnastics,ITA,8,6.0
Artistic Gymnastics,GBR,7,7.0
Artistic Gymnastics,ARM,2,8.0
Artistic Gymnastics,GRE,2,9.0
Artistic Gymnastics,ISR,2,10.0
Artistic Gymnastics,KOR,2,11.0
Artistic Gymnastics,PHI,2,12.0
Artistic Gymnastics,TPE,2,13.0
Artistic Gymnastics,ALG,1,14.0
Artistic Gymnastics,BEL,1,15.0
Artistic Swimming,CHN,21,1.0
Artistic Swimming,ROC,10,2.0
Artistic Swimming,UKR,10,3.0
Artistic Swimming,ESP,9,4.0
Artistic Swimming,USA,9,5.0
Artistic Swimming,GBR,2,6.0
Artistic Swimming,NED,2,7.0
Athletics,USA,1190,1.0
Athletics,GBR,393,2.0
Athletics,URS,242,3.0
Athletics,JAM,183,4.0
Athletics,GER,165,5.0
Athletics,GDR,140,6.0
Athletics,FIN,138,7.0
Athletics,SWE,132,8.0
Athletics,CAN,120,9.0
Athletics,KEN,120,10.0
Athletics,FRA,118,11.0
Athletics,RUS,103,12.0
Athletics,AUS,100,13.0
Athletics,POL,96,14.0
Athletics,ITA,85,15.0
