Year,F,M,total,female_share
1896,0.0,380.0,380.0,0.0
1900,33.0,1903.0,1936.0,0.017045454545454544
1904,16.0,1285.0,1301.0,0.012298232129131437
1906,11.0,1722.0,1733.0,0.006347374495095211
1908,47.0,3054.0,3101.0,0.015156401160915834
1912,87.0,3953.0,4040.0,0.021534653465346533
1920,134.0,4158.0,4292.0,0.031220876048462257
1924,244.0,4989.0,5233.0,0.04662717370533155
1928,404.0,4588.0,4992.0,0.08092948717948718
1932,347.0,2622.0,2969.0,0.11687436847423374
1936,468.0,6038.0,6506.0,0.07193359975407317
1948,628.0,5777.0,6405.0,0.09804839968774395
1952,1497.0,6773.0,8270.0,0.18101571946795647
1956,893.0,4234.0,5127.0,0.1741759313438658
1960,1435.0,6684.0,8119.0,0.17674590466806256
1964,1348.0,6354.0,7702.0,0.17501947546091925
1968,1777.0,6811.0,8588.0,0.2069166278528179
1972,2193.0,8111.0,10304.0,0.2128299689440994
1976,2172.0,6469.0,8641.0,0.2513597963198704
1980,1756.0,5435.0,7191.0,0.24419413155333056
1984,2447.0,7007.0,9454.0,0.258832240321557
1988,3543.0,8494.0,12037.0,0.29434244413059735
1992,4124.0,8853.0,12977.0,0.31779301841719965
1996,5008.0,8772.0,13780.0,0.3634252539912917
2000,5431.0,8390.0,13821.0,0.3929527530569423
2004,5546.0,7897.0,13443.0,0.41255672097002155
2008,5816.0,7786.0,13602.0,0.4275841787972357
2012,5815.0,7105.0,12920.0,0.45007739938080493
2016,6223.0,7465.0,13688.0,0.45463179427235534
2020,7266.0,7855.0,15121.0,0.4805237748826136
2024,7312.0,7580.0,14892.0,0.49100188020413643
